Atom_Index, Neighbour_Index, distance
29,31,0.70711
29,32,0.70711
29,35,0.70711
29,78,0.70711
29,102,0.70711
29,103,0.70711
29,107,0.70711
30,17,0.70711
30,19,0.70711
30,23,0.70711
30,28,0.70711
30,29,0.70711
30,31,0.70711
30,32,0.70711
30,35,0.70711
30,53,0.70711
30,64,0.70711
30,65,0.70711
30,68,0.70711
31,2,0.70711
31,4,0.70711
31,6,0.70711
31,25,0.70711
31,26,0.70711
31,28,0.70711
31,29,0.70711
31,30,0.70711
31,40,0.70711
31,61,0.70711
31,64,0.70711
31,65,0.70711
32,17,0.70711
32,21,0.70711
32,23,0.70711
32,29,0.70711
32,30,0.70711
32,33,0.70711
32,34,0.70711
32,35,0.70711
32,95,0.70711
32,102,0.70711
32,106,0.70711
32,107,0.70711
33,0,0.70711
33,8,0.70711
33,10,0.70711
33,24,0.70711
33,27,0.70711
33,32,0.70711
33,34,0.70711
33,35,0.70711
33,82,0.70711
33,99,0.70711
33,106,0.70711
33,107,0.70711
34,15,0.70711
34,21,0.70711
34,23,0.70711
34,24,0.70711
34,27,0.70711
34,32,0.70711
34,33,0.70711
34,35,0.70711
34,57,0.70711
34,60,0.70711
34,68,0.70711
34,69,0.70711
35,6,0.70711
35,8,0.70711
35,10,0.70711
35,29,0.70711
35,30,0.70711
35,32,0.70711
35,33,0.70711
35,34,0.70711
35,44,0.70711
35,65,0.70711
35,68,0.70711
35,69,0.70711
36,2,0.70711
36,3,0.70711
36,10,0.70711
36,27,0.70711
36,37,0.70711
36,38,0.70711
36,39,0.70711
36,45,0.70711
36,46,0.70711
36,61,0.70711
36,63,0.70711
36,69,0.70711
37,2,0.70711
37,3,0.70711
37,7,0.70711
37,14,0.70711
37,36,0.70711
37,38,0.70711
37,39,0.70711
37,40,0.70711
37,43,0.70711
37,48,0.70711
37,50,0.70711
37,52,0.70711
38,36,0.70711
38,37,0.70711
38,39,0.70711
38,40,0.70711
38,43,0.70711
38,61,0.70711
38,63,0.70711
38,67,0.70711
38,72,0.70711
38,73,0.70711
38,76,0.70711
38,97,0.70711
39,36,0.70711
39,37,0.70711
39,38,0.70711
39,45,0.70711
39,46,0.70711
39,48,0.70711
39,50,0.70711
39,58,0.70711
39,72,0.70711
39,73,0.70711
39,81,0.70711
39,84,0.70711
40,2,0.70711
40,6,0.70711
40,7,0.70711
40,31,0.70711
40,37,0.70711
40,38,0.70711
40,41,0.70711
40,42,0.70711
